delay, y, x, counts
 0,-1.000000,-1.000000,103385
0,-0.900000,-1.000000,101686
0,-0.800000,-1.000000,102490
0,-0.700000,-1.000000,109307
0,-0.600000,-1.000000,78465
0,-0.500000,-1.000000,96381
0,-0.400000,-1.000000,96250
0,-0.300000,-1.000000,97371
0,-0.200000,-1.000000,93161
0,-0.100000,-1.000000,101412
0,0.000000,-1.000000,102447
0,0.100000,-1.000000,103553
0,0.200000,-1.000000,100502
0,0.300000,-1.000000,103624
0,0.400000,-1.000000,108151
0,0.500000,-1.000000,106339
0,0.600000,-1.000000,109788
0,0.700000,-1.000000,97685
0,0.800000,-1.000000,97725
0,0.900000,-1.000000,82516
0,-1.000000,-0.900000,97317
0,-0.900000,-0.900000,103560
0,-0.800000,-0.900000,96205
0,-0.700000,-0.900000,105103
0,-0.600000,-0.900000,104519
0,-0.500000,-0.900000,104294
0,-0.400000,-0.900000,108049
0,-0.300000,-0.900000,104281
0,-0.200000,-0.900000,101979
0,-0.100000,-0.900000,94385
0,0.000000,-0.900000,94767
0,0.100000,-0.900000,95456
0,0.200000,-0.900000,98151
0,0.300000,-0.900000,107850
0,0.400000,-0.900000,99607
0,0.500000,-0.900000,101296
0,0.600000,-0.900000,104429
0,0.700000,-0.900000,104565
0,0.800000,-0.900000,104005
0,0.900000,-0.900000,104958
0,-1.000000,-0.800000,101938
0,-0.900000,-0.800000,109289
0,-0.800000,-0.800000,109431
0,-0.700000,-0.800000,95952
0,-0.600000,-0.800000,97923
0,-0.500000,-0.800000,98209
0,-0.400000,-0.800000,96943
0,-0.300000,-0.800000,101314
0,-0.200000,-0.800000,101339
0,-0.100000,-0.800000,102369
0,0.000000,-0.800000,103695
0,0.100000,-0.800000,105224
0,0.200000,-0.800000,106384
0,0.300000,-0.800000,106615
0,0.400000,-0.800000,107628
0,0.500000,-0.800000,94215
0,0.600000,-0.800000,94549
0,0.700000,-0.800000,107325
0,0.800000,-0.800000,97921
0,0.900000,-0.800000,97045
0,-1.000000,-0.700000,96235
0,-0.900000,-0.700000,101299
0,-0.800000,-0.700000,107976
0,-0.700000,-0.700000,102491
0,-0.600000,-0.700000,97544
0,-0.500000,-0.700000,105662
0,-0.400000,-0.700000,99726
0,-0.300000,-0.700000,107678
0,-0.200000,-0.700000,115282
0,-0.100000,-0.700000,99981
0,0.000000,-0.700000,108886
0,0.100000,-0.700000,108604
0,0.200000,-0.700000,108594
0,0.300000,-0.700000,94365
0,0.400000,-0.700000,97287
0,0.500000,-0.700000,95492
0,0.600000,-0.700000,109952
0,0.700000,-0.700000,97390
0,0.800000,-0.700000,96767
0,0.900000,-0.700000,100383
0,-1.000000,-0.600000,101350
0,-0.900000,-0.600000,102932
0,-0.800000,-0.600000,103875
0,-0.700000,-0.600000,102696
0,-0.600000,-0.600000,105692
0,-0.500000,-0.600000,101696
0,-0.400000,-0.600000,106353
0,-0.300000,-0.600000,109051
0,-0.200000,-0.600000,95940
0,-0.100000,-0.600000,77945
0,0.000000,-0.600000,98128
0,0.100000,-0.600000,98248
0,0.200000,-0.600000,99866
0,0.300000,-0.600000,101627
0,0.400000,-0.600000,103538
0,0.500000,-0.600000,104990
0,0.600000,-0.600000,96555
0,0.700000,-0.600000,89136
0,0.800000,-0.600000,108278
0,0.900000,-0.600000,94480
0,-1.000000,-0.500000,96066
0,-0.900000,-0.500000,95744
0,-0.800000,-0.500000,109210
0,-0.700000,-0.500000,97859
0,-0.600000,-0.500000,97900
0,-0.500000,-0.500000,98876
0,-0.400000,-0.500000,102976
0,-0.300000,-0.500000,103124
0,-0.200000,-0.500000,107166
0,-0.100000,-0.500000,106128
0,0.000000,-0.500000,107032
0,0.100000,-0.500000,100147
0,0.200000,-0.500000,107729
0,0.300000,-0.500000,109605
0,0.400000,-0.500000,104016
0,0.500000,-0.500000,95534
0,0.600000,-0.500000,95732
0,0.700000,-0.500000,98170
0,0.800000,-0.500000,96387
0,0.900000,-0.500000,98378
0,-1.000000,-0.400000,102214
0,-0.900000,-0.400000,109956
0,-0.800000,-0.400000,97170
0,-0.700000,-0.400000,100719
0,-0.600000,-0.400000,106396
0,-0.500000,-0.400000,107772
0,-0.400000,-0.400000,105647
0,-0.300000,-0.400000,95149
0,-0.200000,-0.400000,101884
0,-0.100000,-0.400000,98767
0,0.000000,-0.400000,100135
0,0.100000,-0.400000,97735
0,0.200000,-0.400000,103219
0,0.300000,-0.400000,95643
0,0.400000,-0.400000,106665
0,0.500000,-0.400000,102350
0,0.600000,-0.400000,110490
0,0.700000,-0.400000,95834
0,0.800000,-0.400000,98244
0,0.900000,-0.400000,98422
0,-1.000000,-0.300000,100661
0,-0.900000,-0.300000,102228
0,-0.800000,-0.300000,75828
0,-0.700000,-0.300000,104081
0,-0.600000,-0.300000,104025
0,-0.500000,-0.300000,107577
0,-0.400000,-0.300000,108996
0,-0.300000,-0.300000,109663
0,-0.200000,-0.300000,95341
0,-0.100000,-0.300000,97020
0,0.000000,-0.300000,97867
0,0.100000,-0.300000,99624
0,0.200000,-0.300000,101145
0,0.300000,-0.300000,102386
0,0.400000,-0.300000,103952
0,0.500000,-0.300000,105167
0,0.600000,-0.300000,103025
0,0.700000,-0.300000,107920
0,0.800000,-0.300000,108511
0,0.900000,-0.300000,108741
0,-1.000000,-0.200000,94112
0,-0.900000,-0.200000,97730
0,-0.800000,-0.200000,99081
0,-0.700000,-0.200000,99820
0,-0.600000,-0.200000,102760
0,-0.500000,-0.200000,103226
0,-0.400000,-0.200000,106317
0,-0.300000,-0.200000,106289
0,-0.200000,-0.200000,107708
0,-0.100000,-0.200000,108557
0,0.000000,-0.200000,94679
0,0.100000,-0.200000,98962
0,0.200000,-0.200000,103890
0,0.300000,-0.200000,98530
0,0.400000,-0.200000,100649
0,0.500000,-0.200000,103160
0,0.600000,-0.200000,104478
0,0.700000,-0.200000,104976
0,0.800000,-0.200000,107439
0,0.900000,-0.200000,108261
0,-1.000000,-0.100000,94138
0,-0.900000,-0.100000,95714
0,-0.800000,-0.100000,98066
0,-0.700000,-0.100000,98667
0,-0.600000,-0.100000,100116
0,-0.500000,-0.100000,100051
0,-0.400000,-0.100000,99889
0,-0.300000,-0.100000,106034
0,-0.200000,-0.100000,105260
0,-0.100000,-0.100000,98866
0,0.000000,-0.100000,103748
0,0.100000,-0.100000,95659
0,0.200000,-0.100000,95387
0,0.300000,-0.100000,99920
0,0.400000,-0.100000,101157
0,0.500000,-0.100000,101984
0,0.600000,-0.100000,104287
0,0.700000,-0.100000,103638
0,0.800000,-0.100000,108063
0,0.900000,-0.100000,107452
0,-1.000000,0.000000,107789
0,-0.900000,0.000000,108766
0,-0.800000,0.000000,95227
0,-0.700000,0.000000,97827
0,-0.600000,0.000000,98239
0,-0.500000,0.000000,99714
0,-0.400000,0.000000,101091
0,-0.300000,0.000000,102324
0,-0.200000,0.000000,103855
0,-0.100000,0.000000,105573
0,0.000000,0.000000,108248
0,0.100000,0.000000,109015
0,0.200000,0.000000,94224
0,0.300000,0.000000,96129
0,0.400000,0.000000,97586
0,0.500000,0.000000,97945
0,0.600000,0.000000,99716
0,0.700000,0.000000,101201
0,0.800000,0.000000,102232
0,0.900000,0.000000,103775
0,-1.000000,0.100000,105196
0,-0.900000,0.100000,88493
0,-0.800000,0.100000,107604
0,-0.700000,0.100000,94158
0,-0.600000,0.100000,94934
0,-0.500000,0.100000,96004
0,-0.400000,0.100000,73152
0,-0.300000,0.100000,98988
0,-0.200000,0.100000,101466
0,-0.100000,0.100000,102204
0,0.000000,0.100000,104515
0,0.100000,0.100000,171404
0,0.200000,0.100000,101553
0,0.300000,0.100000,97732
0,0.400000,0.100000,103499
0,0.500000,0.100000,103392
0,0.600000,0.100000,104849
0,0.700000,0.100000,103228
0,0.800000,0.100000,108323
0,0.900000,0.100000,109980
0,-1.000000,0.200000,96386
0,-0.900000,0.200000,108621
0,-0.800000,0.200000,99315
0,-0.700000,0.200000,99823
0,-0.600000,0.200000,101905
0,-0.500000,0.200000,96991
0,-0.400000,0.200000,102668
0,-0.300000,0.200000,105699
0,-0.200000,0.200000,104543
0,-0.100000,0.200000,99147
0,0.000000,0.200000,108137
0,0.100000,0.200000,115408
0,0.200000,0.200000,97221
0,0.300000,0.200000,102989
0,0.400000,0.200000,89867
0,0.500000,0.200000,107262
0,0.600000,0.200000,135139
0,0.700000,0.200000,96152
0,0.800000,0.200000,108023
0,0.900000,0.200000,108301
0,-1.000000,0.300000,107324
0,-0.900000,0.300000,95676
0,-0.800000,0.300000,107475
0,-0.700000,0.300000,103185
0,-0.600000,0.300000,108581
0,-0.500000,0.300000,99315
0,-0.400000,0.300000,99504
0,-0.300000,0.300000,104513
0,-0.200000,0.300000,103841
0,-0.100000,0.300000,98736
0,0.000000,0.300000,105712
0,0.100000,0.300000,108347
0,0.200000,0.300000,106418
0,0.300000,0.300000,110772
0,0.400000,0.300000,103614
0,0.500000,0.300000,105573
0,0.600000,0.300000,96459
0,0.700000,0.300000,98605
0,0.800000,0.300000,100137
0,0.900000,0.300000,98478
0,-1.000000,0.400000,102300
0,-0.900000,0.400000,102726
0,-0.800000,0.400000,107403
0,-0.700000,0.400000,103089
0,-0.600000,0.400000,106989
0,-0.500000,0.400000,95232
0,-0.400000,0.400000,107215
0,-0.300000,0.400000,108125
0,-0.200000,0.400000,109734
0,-0.100000,0.400000,94915
0,0.000000,0.400000,70528
0,0.100000,0.400000,97423
0,0.200000,0.400000,105544
0,0.300000,0.400000,99736
0,0.400000,0.400000,100751
0,0.500000,0.400000,102455
0,0.600000,0.400000,102929
0,0.700000,0.400000,104207
0,0.800000,0.400000,105784
0,0.900000,0.400000,108905
0,-1.000000,0.500000,107161
0,-0.900000,0.500000,95017
0,-0.800000,0.500000,105690
0,-0.700000,0.500000,98090
0,-0.600000,0.500000,98680
0,-0.500000,0.500000,100210
0,-0.400000,0.500000,101937
0,-0.300000,0.500000,103761
0,-0.200000,0.500000,105229
0,-0.100000,0.500000,100416
0,0.000000,0.500000,108001
0,0.100000,0.500000,103801
0,0.200000,0.500000,94779
0,0.300000,0.500000,105318
0,0.400000,0.500000,99368
0,0.500000,0.500000,99176
0,0.600000,0.500000,110099
0,0.700000,0.500000,98080
0,0.800000,0.500000,99949
0,0.900000,0.500000,101396
0,-1.000000,0.600000,103373
0,-0.900000,0.600000,104337
0,-0.800000,0.600000,104653
0,-0.700000,0.600000,108184
0,-0.600000,0.600000,109680
0,-0.500000,0.600000,81086
0,-0.400000,0.600000,103342
0,-0.300000,0.600000,80569
0,-0.200000,0.600000,98268
0,-0.100000,0.600000,100166
0,0.000000,0.600000,101825
0,0.100000,0.600000,103626
0,0.200000,0.600000,104154
0,0.300000,0.600000,106246
0,0.400000,0.600000,107312
0,0.500000,0.600000,111253
0,0.600000,0.600000,94359
0,0.700000,0.600000,96962
0,0.800000,0.600000,98080
0,0.900000,0.600000,98268
0,-1.000000,0.700000,99696
0,-0.900000,0.700000,89271
0,-0.800000,0.700000,102559
0,-0.700000,0.700000,101409
0,-0.600000,0.700000,106007
0,-0.500000,0.700000,88424
0,-0.400000,0.700000,107088
0,-0.300000,0.700000,107685
0,-0.200000,0.700000,95497
0,-0.100000,0.700000,96094
0,0.000000,0.700000,98361
0,0.100000,0.700000,99929
0,0.200000,0.700000,94340
0,0.300000,0.700000,98728
0,0.400000,0.700000,73762
0,0.500000,0.700000,101313
0,0.600000,0.700000,98499
0,0.700000,0.700000,101659
0,0.800000,0.700000,98802
0,0.900000,0.700000,97568
0,-1.000000,0.800000,102642
0,-0.900000,0.800000,103914
0,-0.800000,0.800000,101790
0,-0.700000,0.800000,105478
0,-0.600000,0.800000,100293
0,-0.500000,0.800000,107696
0,-0.400000,0.800000,122579
0,-0.300000,0.800000,87733
0,-0.200000,0.800000,100427
0,-0.100000,0.800000,138152
0,0.000000,0.800000,104351
0,0.100000,0.800000,104521
0,0.200000,0.800000,111537
0,0.300000,0.800000,144352
0,0.400000,0.800000,101808
0,0.500000,0.800000,103279
0,0.600000,0.800000,91064
0,0.700000,0.800000,94702
0,0.800000,0.800000,99146
0,0.900000,0.800000,95786
0,-1.000000,0.900000,97699
0,-0.900000,0.900000,98438
0,-0.800000,0.900000,100553
0,-0.700000,0.900000,103221
0,-0.600000,0.900000,103439
0,-0.500000,0.900000,105402
0,-0.400000,0.900000,106898
0,-0.300000,0.900000,107066
0,-0.200000,0.900000,107481
0,-0.100000,0.900000,94463
0,0.000000,0.900000,104306
0,0.100000,0.900000,97307
0,0.200000,0.900000,97141
0,0.300000,0.900000,99077
0,0.400000,0.900000,100126
0,0.500000,0.900000,102012
0,0.600000,0.900000,102264
0,0.700000,0.900000,102992
0,0.800000,0.900000,99711
0,0.900000,0.900000,143640
10,-1.000000,-1.000000,105787
10,-0.900000,-1.000000,106707
10,-0.800000,-1.000000,97467
10,-0.700000,-1.000000,108818
10,-0.600000,-1.000000,109180
10,-0.500000,-1.000000,95911
10,-0.400000,-1.000000,96446
10,-0.300000,-1.000000,99088
10,-0.200000,-1.000000,100357
10,-0.100000,-1.000000,101350
10,0.000000,-1.000000,101486
10,0.100000,-1.000000,105512
10,0.200000,-1.000000,103238
10,0.300000,-1.000000,105897
10,0.400000,-1.000000,107025
10,0.500000,-1.000000,108344
10,0.600000,-1.000000,107596
10,0.700000,-1.000000,94234
10,0.800000,-1.000000,94418
10,0.900000,-1.000000,106273
10,-1.000000,-0.900000,82808
10,-0.900000,-0.900000,97719
10,-0.800000,-0.900000,100823
10,-0.700000,-0.900000,101299
10,-0.600000,-0.900000,102223
10,-0.500000,-0.900000,100928
10,-0.400000,-0.900000,105145
10,-0.300000,-0.900000,104811
10,-0.200000,-0.900000,107688
10,-0.100000,-0.900000,104702
10,0.000000,-0.900000,109642
10,0.100000,-0.900000,100678
